Team, year_1,year_2,year_3,year_4,year_5,year_6
2019 Toronto Raptors,1,1,3,2,2,5
2018 Golden State Warriors,2,1,5,4,5,5
2017 Golden State Warriors,0,2,1,5,4,5
2016 Cleveland Cavaliers,0,0,0,0,4,5
2015 Golden State Warriors,0,0,0,2,1,5
2014 San Antonio Spurs,1,2,1,3,4,5
2013 Miami Heat,0,1,1,4,5,5
2012 Miami Heat,1,0,1,1,4,5
2011 Dallas Mavericks,4,1,1,2,1,5
2010 Los Angeles Lakers,0,1,1,4,5,5
2009 Los Angeles Lakers,4,0,1,1,4,5
2008 Boston Celtics,2,1,1,0,0,5
2007 San Antonio Spurs,2,5,2,5,2,5
2006 Miami Heat,1,0,0,2,3,5
2005 San Antonio Spurs,1,3,2,5,2,5
2004 Detroit Pistons,1,1,0,2,3,5
2003 San Antonio Spurs,2,5,1,3,2,5
2002 Los Angeles Lakers,2,3,2,5,5,5
2001 Los Angeles Lakers,1,2,3,2,5,5
2000 Los Angeles Lakers,2,1,2,3,2,5
1999 San Antonio Spurs,1,3,2,0,2,5
1998 Chicago Bulls,5,2,2,5,5,5
1997 Chicago Bulls,5,5,2,2,5,5
1996 Chicago Bulls,5,5,5,2,2,5
1995 Houston Rockets,1,1,0,2,5,5
1994 Houston Rockets,1,1,1,0,2,5
1993 Chicago Bulls,2,3,3,5,5,5
1992 Chicago Bulls,1,2,3,3,5,5
1991 Chicago Bulls,1,1,2,3,3,5
1990 Detroit Pistons,2,1,3,4,5,5
1989 Detroit Pistons,1,2,1,3,4,5
1988 Los Angeles Lakers,4,4,5,3,5,5
1987 Los Angeles Lakers,5,4,4,5,3,5
1986 Boston Celtics,5,3,2,5,4,5
1985 Los Angeles Lakers,5,1,5,4,4,5
1984 Boston Celtics,0,3,5,3,2,5
1983 Philadelphia 76ers,3,2,4,3,4,5
1982 Los Angeles Lakers,3,1,2,5,1,5
1981 Boston Celtics,5,2,0,0,3,5
1980 Los Angeles Lakers,0,0,2,1,2,5
1979 Seattle SuperSonics,0,2,2,0,4,5
